File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\auxiliary\XMLBuilder.java,44,19,15,2,8,0,17,55,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\client\AbstractServiceClient.java,105,65,51,4,13,0,27,89,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\composite\CompositeService.java,355,204,143,33,43,0,108,534,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\composite\CompositeServiceClient.java,53,19,13,2,9,0,25,103,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\composite\SDCache.java,331,199,139,56,35,0,97,427,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\messagingservice\MessagingService.java,158,69,50,11,27,0,62,210,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\messagingservice\MessagingServiceProvider.java,43,24,16,0,9,0,10,27,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\provider\MessageReceiver.java,18,5,4,0,4,0,9,42,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\provider\ServiceProvider.java,31,7,6,0,6,0,18,107,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\provider\ServiceProviderFactory.java,21,7,5,1,4,0,10,46,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\registry\ServiceRegistry.java,131,96,70,16,18,0,17,56,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\utility\LogAtomicService.java,35,16,13,2,6,0,13,17,3,3
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\utility\SimClock.java,74,49,33,10,19,0,6,7,0,0
C:\Users\great\Desktop\TAS-ActivFORMS\TAS-ActivFORMS\ResearchServicePlatform\src\service\utility\Time.java,17,5,4,0,4,0,8,30,0,0
